,class,mapped
248,operating_room,other
249,orchard,other
250,orchestra_pit,other
251,pagoda,other
252,palace,other
253,pantry,other
254,park,other
255,parking_garage/indoor,other
256,parking_garage/outdoor,other
257,parking_lot,other
258,pasture,other
259,patio,frontyard
260,pavilion,other
261,pet_shop,other
262,pharmacy,other
263,phone_booth,other
264,physics_laboratory,other
265,picnic_area,other
266,pier,other
267,pizzeria,other
268,playground,other
269,playroom,other
270,plaza,other
271,pond,other
272,porch,frontyard
273,promenade,other
274,pub/indoor,other
275,racecourse,other
276,raceway,other
277,raft,other
278,railroad_track,other
279,rainforest,other
280,reception,other
281,recreation_room,livingRoom
282,repair_shop,other
283,residential_neighborhood,other
284,restaurant,other
285,restaurant_kitchen,kitchen
286,restaurant_patio,other
287,rice_paddy,other
288,river,other
289,rock_arch,other
290,roof_garden,other
291,rope_bridge,other
292,ruin,other
293,runway,other
294,sandbox,other
295,sauna,other
296,schoolhouse,other
297,science_museum,other
298,server_room,other
299,shed,other
300,shoe_shop,other
301,shopfront,other
302,shopping_mall/indoor,other
303,shower,bathroom
304,ski_resort,other
305,ski_slope,other
306,sky,other
307,skyscraper,other
308,slum,other
309,snowfield,other
310,soccer_field,other
311,stable,other
312,stadium/baseball,other
313,stadium/football,other
314,stadium/soccer,other
315,stage/indoor,other
316,stage/outdoor,other
317,staircase,other
318,storage_room,other
319,street,other
320,subway_station/platform,other
321,supermarket,other
322,sushi_bar,other
323,swamp,other
324,swimming_hole,other
325,swimming_pool/indoor,other
326,swimming_pool/outdoor,other
327,synagogue/outdoor,other
328,television_room,livingRoom
329,television_studio,livingRoom
330,temple/asia,other
331,throne_room,other
332,ticket_booth,other
333,topiary_garden,other
334,tower,other
335,toyshop,other
336,train_interior,other
337,train_station/platform,other
338,tree_farm,other
339,tree_house,other
340,trench,other
341,tundra,other
342,underwater/ocean_deep,other
343,utility_room,other
344,valley,other
345,vegetable_garden,other
346,veterinarians_office,other
347,viaduct,other
348,village,other
349,vineyard,other
350,volcano,other
351,volleyball_court/outdoor,other
352,waiting_room,livingRoom
353,water_park,other
354,water_tower,other
355,waterfall,other
356,watering_hole,other
357,wave,other
358,wet_bar,other
359,wheat_field,other
360,wind_farm,other
361,windmill,other
362,yard,frontyard
363,youth_hostel,other
364,zen_garden,other
